championship_name,event__name,round_name,rank,bib,nme,noc,total
2025 Shotgun World Championship,Skeet Men,Final,1,1732,Hancock Vincent,USA,59
2025 Shotgun World Championship,Skeet Men,Final,2,1166,Korcak Daniel,CZE,55
2025 Shotgun World Championship,Skeet Men,Final,3,1178,Petersen Emil Kjeldgaard,DEN,45
2025 Shotgun World Championship,Skeet Men,Final,4,1171,Tomecek Jakub,CZE,32
2025 Shotgun World Championship,Skeet Men,Final,5,1198,Mehelba Azmy,EGY,25
2025 Shotgun World Championship,Skeet Men,Final,6,1717,Milchev Mikola,UKR,15
2025 Shotgun World Championship,Skeet Men,Qualification,1,1732,HANCOCK Vincent,USA,124
2025 Shotgun World Championship,Skeet Men,Qualification,2,1198,MEHELBA Azmy,EGY,123+14
2025 Shotgun World Championship,Skeet Men,Qualification,3,1166,KORCAK Daniel,CZE,123+13
2025 Shotgun World Championship,Skeet Men,Qualification,4,1178,PETERSEN Emil Kjeldgaard,DEN,123+1
2025 Shotgun World Championship,Skeet Men,Qualification,5,1717,MILCHEV Mikola,UKR,122+24
2025 Shotgun World Championship,Skeet Men,Qualification,6,1171,TOMECEK Jakub,CZE,122+23
2025 Shotgun World Championship,Skeet Men,Qualification,7,1731,ELLIOTT Christian,USA,122+15
2025 Shotgun World Championship,Skeet Men,Qualification,8,1306,MAVROMMATIS Nikolaos,GRE,122+15
2025 Shotgun World Championship,Skeet Men,Qualification,9,1249,CLOITRE Remi,FRA,122+7
2025 Shotgun World Championship,Skeet Men,Qualification,10,1523,WATNDAL Erik,NOR,122+7
2025 Shotgun World Championship,Skeet Men,Qualification,11,1111,ROCHE HELO Raimundo Nicolas,CHI,122+5
2025 Shotgun World Championship,Skeet Men,Qualification,12,1381,ROSSETTI Gabriele,ITA,122+5
2025 Shotgun World Championship,Skeet Men,Qualification,13,1660,JANSSON Henrik,SWE,122+3
2025 Shotgun World Championship,Skeet Men,Qualification,14,1044,AGHAZADA Niyaz,AZE,122+3
2025 Shotgun World Championship,Skeet Men,Qualification,15,1399,TOGUCHI Shotaro,JPN,122+1
2025 Shotgun World Championship,Skeet Men,Qualification,16,1380,PITTINI Erik,ITA,121
2025 Shotgun World Championship,Skeet Men,Qualification,17,1444,ALSAAD Abdulaziz,KUW,121
